TOP.6148c662.000adbdf	START
TOP.6148e30d.00014c17	user_options->speed_only	0
TOP.6148e30d.00014c17	user_options->spin_damp	8
TOP.6148e30d.00014c17	user_options->status	1
TOP.6148e30d.00014c17	user_options->status_timer	3
TOP.6148e30d.00014c17	user_options->stdout_flag	0
TOP.6148e30d.00014c17	user_options->usage	0
TOP.6148e30d.00014c17	user_options->username	0
TOP.6148e30d.00014c17	user_options->veracrypt_pim	0
TOP.6148e30d.00014c17	user_options->version	0
TOP.6148e30d.00014c17	user_options->workload_profile	2
TOP.6148e30d.00014c17	user_options->brain_client	0
TOP.6148e30d.00014c17	user_options->brain_client_features	2
TOP.6148e30d.00014c17	user_options->brain_server	0
TOP.6148e30d.00014c17	user_options->brain_port	6863
TOP.6148e30d.00014c17	user_options->brain_session	0
TOP.6148e30d.00014c17	hashes->hashfile	D:\graduation-project\application\sweeney/temp/hashcat/MdDZiq862eZAhmRlpZlKO00yvET1riff
TOP.6148e30d.00014c17	hashes->hashlist_mode	4
TOP.6148e30d.00014c17	hashes->hashlist_format	0
TOP.6148e30d.00014c17	hashes->hashes_cnt	0
TOP.6148e30d.00014c17	hashes->digests_cnt	1
TOP.6148e30d.00014c17	hashes->digests_done	0
TOP.6148e30d.00014c17	hashes->salts_cnt	1
TOP.6148e30d.00014c17	hashes->salts_done	0
TOP.6148e30d.00014c17	SUB.6148e30f.000377bb	START
TOP.6148e30d.00014c17	SUB.6148e30f.000377bb	mask_ctx->mask	?l?l?l?l?l?l?l?l
TOP.6148e30d.00014c17	SUB.6148e30f.000377bb	runtime_start	1632166671
TOP.6148e30d.00014c17	SUB.6148e30f.000377bb	runtime_stop	1632166689
TOP.6148e30d.00014c17	SUB.6148e30f.000377bb	status-after-work	6
TOP.6148e30d.00014c17	SUB.6148e30f.000377bb	STOP
TOP.6148e30d.00014c17	proc_start	1632166669
TOP.6148e30d.00014c17	proc_stop	1632166690
TOP.6148e30d.00014c17	STOP
TOP.61497227.00079a8a	START
TOP.61497227.00079a8a	user_options->separator	:
TOP.61497227.00079a8a	user_options->encoding_from	utf-8
TOP.61497227.00079a8a	user_options->encoding_to	utf-8
TOP.61497227.00079a8a	user_options->rule_buf_l	:
TOP.61497227.00079a8a	user_options->rule_buf_r	:
TOP.61497227.00079a8a	user_options->session	hashcat
TOP.61497227.00079a8a	user_options->limit	1109366025
TOP.61497227.00079a8a	user_options->skip	0
TOP.61497227.00079a8a	user_options->attack_mode	3
TOP.61497227.00079a8a	user_options->benchmark	0
TOP.61497227.00079a8a	user_options->benchmark_all	0
TOP.61497227.00079a8a	user_options->bitmap_max	18
TOP.61497227.00079a8a	user_options->bitmap_min	16
TOP.61497227.00079a8a	user_options->debug_mode	0
TOP.61497227.00079a8a	user_options->example_hashes	0
TOP.61497227.00079a8a	user_options->force	0
TOP.61497227.00079a8a	user_options->hwmon_disable	0
TOP.61497227.00079a8a	user_options->hwmon_temp_abort	90
TOP.61497227.00079a8a	user_options->hash_mode	0
TOP.61497227.00079a8a	user_options->hex_charset	0
TOP.61497227.00079a8a	user_options->hex_salt	0
TOP.61497227.00079a8a	user_options->hex_wordlist	0
TOP.61497227.00079a8a	user_options->increment	0
TOP.61497227.00079a8a	user_options->increment_max	256
