TOP.6148c662.000adbdf	START
TOP.614988e5.0001a15e	user_options->bitmap_min	16
TOP.614988e5.0001a15e	user_options->debug_mode	0
TOP.614988e5.0001a15e	user_options->example_hashes	0
TOP.614988e5.0001a15e	user_options->force	0
TOP.614988e5.0001a15e	user_options->hwmon_disable	0
TOP.614988e5.0001a15e	user_options->hwmon_temp_abort	90
TOP.614988e5.0001a15e	user_options->hash_mode	0
TOP.614988e5.0001a15e	user_options->hex_charset	0
TOP.614988e5.0001a15e	user_options->hex_salt	0
TOP.614988e5.0001a15e	user_options->hex_wordlist	0
TOP.614988e5.0001a15e	user_options->increment	0
TOP.614988e5.0001a15e	user_options->increment_max	256
TOP.614988e5.0001a15e	user_options->increment_min	1
TOP.614988e5.0001a15e	user_options->keep_guessing	0
TOP.614988e5.0001a15e	user_options->kernel_accel	0
TOP.614988e5.0001a15e	user_options->kernel_loops	0
TOP.614988e5.0001a15e	user_options->kernel_threads	0
TOP.614988e5.0001a15e	user_options->keyspace	0
TOP.614988e5.0001a15e	user_options->left	0
TOP.614988e5.0001a15e	user_options->logfile_disable	0
TOP.614988e5.0001a15e	user_options->loopback	0
TOP.614988e5.0001a15e	user_options->machine_readable	1
TOP.614988e5.0001a15e	user_options->markov_classic	0
TOP.614988e5.0001a15e	user_options->markov_disable	0
TOP.614988e5.0001a15e	user_options->markov_threshold	256
TOP.614988e5.0001a15e	user_options->opencl_info	0
TOP.614988e5.0001a15e	user_options->opencl_vector_width	0
TOP.614988e5.0001a15e	user_options->optimized_kernel_enable	0
TOP.614988e5.0001a15e	user_options->outfile_autohex	1
TOP.614988e5.0001a15e	user_options->outfile_check_timer	5
TOP.614988e5.0001a15e	user_options->outfile_format	3
TOP.614988e5.0001a15e	user_options->wordlist_autohex_disable	0
TOP.614988e5.0001a15e	user_options->potfile_disable	0
TOP.614988e5.0001a15e	user_options->progress_only	0
TOP.614988e5.0001a15e	user_options->quiet	1
TOP.614988e5.0001a15e	user_options->remove	0
TOP.614988e5.0001a15e	user_options->remove_timer	60
TOP.614988e5.0001a15e	user_options->restore	0
TOP.614988e5.0001a15e	user_options->restore_disable	0
TOP.614988e5.0001a15e	user_options->restore_timer	60
TOP.614988e5.0001a15e	user_options->rp_files_cnt	0
TOP.614988e5.0001a15e	user_options->rp_gen	0
TOP.614988e5.0001a15e	user_options->rp_gen_func_max	4
TOP.614988e5.0001a15e	user_options->rp_gen_func_min	1
